source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,1.0,0.0,0.7461,2.90,31.85,42.68
transfered,2,0.6364,1.0,1.0,0.0,0.8910,1.90,24.36,27.34
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,20.04,12.95
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,21.81,0.00
origin,1,0.0000,0.0,1.0,0.0,0.7530,2.90,32.14,42.68
origin,2,0.7103,1.0,1.0,0.0,0.9945,1.90,27.19,27.34
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,26.33,12.95
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,28.54,0.00
