source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90,1.06,0.49
transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90,0.84,0.00
transfered,3,1.0000,1.0,1.0,1.0,1.0000,0.90,1.08,0.00
transfered,4,1.0000,1.0,1.0,1.0,1.0000,0.00,1.22,0.00
origin,1,1.0000,1.0,1.0,1.0,1.0000,2.90,3.06,0.49
origin,2,1.0000,1.0,1.0,1.0,1.0000,1.90,1.46,0.00
origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90,0.60,0.00
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,4.91,0.00
