source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90,0.57,0.00
transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90,0.77,0.00
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,3.39,0.00
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,1.74,0.00
origin,1,0.0000,0.0,0.0,0.0,1.0000,2.90,6.59,0.00
origin,2,0.0000,0.0,0.0,0.0,1.0000,1.90,6.47,0.00
origin,3,0.0000,0.0,0.0,1.0,1.0000,0.90,1.37,0.00
origin,4,0.0000,0.0,0.0,0.0,1.0000,0.00,1.85,0.00
