source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90,4.91,1.69
transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90,0.89,0.00
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,4.53,0.00
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,4.70,0.00
origin,1,1.0000,1.0,1.0,1.0,1.0000,2.90,2.29,1.69
origin,2,1.0000,1.0,1.0,1.0,1.0000,1.90,1.19,0.00
origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90,0.56,0.00
origin,4,1.0000,1.0,1.0,1.0,1.0000,0.00,1.04,0.00
