source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.4421,1.0,1.0,0.0,0.6190,2.90,13.85,22.38
transfered,2,0.0000,0.0,1.0,0.0,0.8073,1.90,11.57,14.34
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,8.76,6.56
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,7.67,0.00
origin,1,0.1655,1.0,1.0,0.0,0.2317,2.90,5.19,22.38
origin,2,0.0000,0.0,1.0,0.0,1.0000,1.90,15.43,14.34
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,22.20,6.56
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,9.62,0.00
