source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90,2.34,0.73
transfered,2,0.7143,1.0,1.0,0.0,1.0000,1.90,3.24,0.00
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,4.55,0.00
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,4.42,0.00
origin,1,1.0000,1.0,1.0,1.0,1.0000,2.90,1.81,0.73
origin,2,1.0000,1.0,1.0,1.0,1.0000,1.90,1.22,0.00
origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90,1.35,0.00
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,1.71,0.00
