source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90,4.93,1.60
transfered,2,0.7143,1.0,1.0,0.0,1.0000,1.90,2.41,0.00
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,4.51,0.00
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,4.90,0.00
origin,1,1.0000,1.0,1.0,1.0,1.0000,2.90,2.20,1.60
origin,2,1.0000,1.0,1.0,1.0,1.0000,1.90,1.14,0.00
origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90,0.55,0.00
origin,4,1.0000,1.0,1.0,1.0,1.0000,0.00,1.15,0.00
