source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90,1.89,0.74
transfered,2,0.0000,0.0,0.0,0.0,1.0000,1.90,3.78,0.00
transfered,3,0.0000,1.0,0.0,0.0,1.0000,0.90,3.78,0.00
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,3.48,0.00
origin,1,0.7143,1.0,1.0,0.0,1.0000,2.90,2.26,0.74
origin,2,0.0000,0.0,0.0,0.0,1.0000,1.90,3.81,0.00
origin,3,0.0000,0.0,0.0,1.0,1.0000,0.90,3.96,0.00
origin,4,0.0000,0.0,0.0,0.0,1.0000,0.00,4.31,0.00
