source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,1.0,0.0,0.7845,2.90,15.17,19.33
transfered,2,0.0000,0.0,1.0,0.0,1.0000,1.90,15.44,12.67
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,20.24,6.00
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,17.19,0.00
origin,1,0.0000,0.0,0.0,0.0,0.3491,2.90,6.75,19.33
origin,2,0.0000,0.0,1.0,0.0,0.5358,1.90,6.79,12.67
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,8.04,6.00
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,9.67,0.00
