source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.3055,1.0,1.0,0.0,0.4277,2.90,5.34,12.50
transfered,2,0.2509,1.0,1.0,0.0,0.3512,1.90,2.91,8.28
transfered,3,0.6451,1.0,1.0,0.0,0.9031,0.90,4.33,4.79
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,4.59,0.00
origin,1,0.3262,1.0,1.0,0.0,0.4566,2.90,5.71,12.50
origin,2,0.2490,1.0,1.0,0.0,0.3486,1.90,2.89,8.28
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,6.35,4.79
origin,4,1.0000,1.0,1.0,1.0,1.0000,0.00,9.45,0.00
