source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.1704,1.0,1.0,0.0,0.2386,2.90,10.97,45.97
transfered,2,0.3837,1.0,1.0,0.0,0.5372,1.90,15.84,29.49
transfered,3,0.6823,1.0,1.0,0.0,0.9552,0.90,13.34,13.97
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,25.37,0.00
origin,1,0.2052,1.0,1.0,0.0,0.2873,2.90,13.20,45.97
origin,2,0.6043,1.0,1.0,0.0,0.8460,1.90,24.95,29.49
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,27.09,13.97
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,28.08,0.00
