source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.5290,1.0,1.0,0.0,0.7405,2.90,17.50,23.63
transfered,2,0.6139,1.0,1.0,0.0,0.8595,1.90,12.78,14.87
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,9.26,6.53
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,8.98,0.00
origin,1,0.4504,1.0,1.0,0.0,0.6305,2.90,14.90,23.63
origin,2,0.6501,1.0,1.0,0.0,0.9102,1.90,13.53,14.87
origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90,9.96,6.53
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,12.76,0.00
