source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.2337,1.0,1.0,0.0,0.3272,2.90,6.29,19.23
transfered,2,0.4847,1.0,1.0,0.0,0.6786,1.90,8.53,12.57
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,8.80,5.90
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,6.44,0.00
origin,1,0.6723,1.0,1.0,0.0,0.9413,2.90,18.10,19.23
origin,2,0.7143,1.0,1.0,0.0,1.0000,1.90,20.55,12.57
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,17.79,5.90
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,10.58,0.00
