source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,1.0,0.0,0.2747,2.90,2.41,8.79
transfered,2,0.0000,0.0,0.0,0.0,0.4363,1.90,2.51,5.76
transfered,3,1.0000,1.0,1.0,1.0,1.0000,0.90,2.76,2.73
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,3.13,0.00
origin,1,0.0000,0.0,1.0,1.0,1.0000,2.90,9.11,8.79
origin,2,0.0000,0.0,1.0,1.0,1.0000,1.90,10.17,5.76
origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90,10.93,2.73
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,11.53,0.00
