source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,1.0,0.0,0.9292,2.90,20.21,21.75
transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90,20.18,14.25
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,21.00,6.75
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,18.16,0.00
origin,1,0.0000,0.0,1.0,0.0,0.3763,2.90,8.18,21.75
origin,2,0.4222,1.0,1.0,0.0,0.5910,1.90,8.42,14.25
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,7.98,6.75
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,7.94,0.00
