source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90,0.93,0.32
transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90,0.97,0.00
transfered,3,1.0000,1.0,1.0,1.0,1.0000,0.90,1.47,0.00
transfered,4,1.0000,1.0,1.0,1.0,1.0000,0.00,1.47,0.00
origin,1,0.7143,1.0,1.0,0.0,1.0000,2.90,1.47,0.32
origin,2,1.0000,1.0,1.0,1.0,1.0000,1.90,2.24,0.00
origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90,2.20,0.00
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,2.08,0.00
