source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.3504,1.0,1.0,0.0,0.4906,2.90,5.22,10.64
transfered,2,0.0000,0.0,1.0,0.0,0.4189,1.90,2.76,6.59
transfered,3,0.8279,1.0,1.0,1.0,0.7591,0.90,2.69,3.54
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,4.63,0.00
origin,1,0.3983,1.0,1.0,0.0,0.5576,2.90,5.94,10.64
origin,2,0.0000,0.0,1.0,1.0,0.4153,1.90,2.74,6.59
origin,3,0.8254,1.0,1.0,1.0,0.7555,0.90,2.67,3.54
origin,4,1.0000,1.0,1.0,1.0,1.0000,0.00,10.10,0.00
