source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,1.0,0.0,0.8291,2.90,40.37,48.70
transfered,2,0.7143,1.0,1.0,0.0,1.0000,1.90,44.32,31.43
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,43.10,14.89
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,42.15,0.00
origin,1,0.0000,0.0,1.0,0.0,0.1911,2.90,9.30,48.70
origin,2,0.3865,1.0,1.0,0.0,0.5411,1.90,17.01,31.43
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,16.11,14.89
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,17.99,0.00
