source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.4639,1.0,1.0,0.0,0.6494,2.90,12.32,18.97
transfered,2,0.3477,1.0,1.0,0.0,0.4867,1.90,5.91,12.14
transfered,3,0.7035,1.0,1.0,0.0,0.9849,0.90,5.66,5.75
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,5.84,0.00
origin,1,0.5138,1.0,1.0,0.0,0.7193,2.90,13.64,18.97
origin,2,0.3644,1.0,1.0,0.0,0.5102,1.90,6.19,12.14
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,8.26,5.75
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,6.26,0.00
