source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,0.0,0.0,0.5412,2.90,12.65,23.37
transfered,2,0.0000,0.0,1.0,0.0,0.8612,1.90,12.95,15.04
transfered,3,0.6704,1.0,1.0,0.0,0.9386,0.90,6.29,6.70
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,8.64,0.00
origin,1,0.0000,0.0,0.0,0.0,1.0000,2.90,24.46,23.37
origin,2,0.0000,0.0,1.0,1.0,1.0000,1.90,24.66,15.04
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,16.33,6.70
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,22.96,0.00
