source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.4149,1.0,1.0,0.0,0.5808,2.90,4.73,8.14
transfered,2,0.0000,0.0,0.0,1.0,0.5186,1.90,2.40,4.64
transfered,3,0.0000,0.0,1.0,1.0,1.0000,0.90,2.29,2.20
transfered,4,1.0000,1.0,1.0,1.0,1.0000,0.00,2.31,0.00
origin,1,0.4073,1.0,1.0,0.0,0.5703,2.90,4.64,8.14
origin,2,0.0000,0.0,0.0,1.0,1.0000,1.90,11.32,4.64
origin,3,0.0000,0.0,1.0,1.0,1.0000,0.90,2.63,2.20
origin,4,1.0000,1.0,1.0,1.0,1.0000,0.00,9.42,0.00
