source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.5165,1.0,1.0,0.0,0.7231,2.90,14.95,20.67
transfered,2,0.3500,1.0,1.0,0.0,0.4900,1.90,6.47,13.19
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,9.40,6.25
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,9.05,0.00
origin,1,0.5095,1.0,1.0,0.0,0.7133,2.90,14.75,20.67
origin,2,0.4061,1.0,1.0,0.0,0.5685,1.90,7.50,13.19
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,8.65,6.25
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,7.81,0.00
