source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90,1.67,1.24
transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90,0.80,0.00
transfered,3,1.0000,1.0,1.0,1.0,1.0000,0.90,1.09,0.00
transfered,4,1.0000,1.0,1.0,1.0,1.0000,0.00,1.18,0.00
origin,1,0.7143,1.0,1.0,0.0,1.0000,2.90,6.77,1.24
origin,2,1.0000,1.0,1.0,1.0,1.0000,1.90,1.35,0.00
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,9.77,0.00
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,9.94,0.00
