source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.3460,1.0,1.0,0.0,0.4845,2.90,21.20,43.77
transfered,2,0.6296,1.0,1.0,0.0,0.8815,1.90,24.72,28.04
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,24.03,13.28
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,21.27,0.00
origin,1,0.2039,1.0,1.0,0.0,0.2854,2.90,12.49,43.77
origin,2,0.6292,1.0,1.0,0.0,0.8808,1.90,24.70,28.04
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,25.87,13.28
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,28.52,0.00
