source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90,2.51,0.26
transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90,0.88,0.00
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,1.73,0.00
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,2.29,0.00
origin,1,1.0000,1.0,1.0,1.0,1.0000,2.90,3.12,0.26
origin,2,1.0000,1.0,1.0,1.0,1.0000,1.90,1.28,0.00
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,3.50,0.00
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,4.96,0.00
