source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.3101,1.0,1.0,0.0,0.4341,2.90,4.47,10.29
transfered,2,0.0000,0.0,1.0,0.0,0.3902,1.90,2.57,6.59
transfered,3,0.8160,1.0,1.0,1.0,0.7424,0.90,2.63,3.54
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,4.44,0.00
origin,1,0.3272,1.0,1.0,0.0,0.4581,2.90,4.72,10.29
origin,2,0.3051,1.0,1.0,0.0,0.4271,1.90,2.81,6.59
origin,3,0.8017,1.0,1.0,1.0,0.7224,0.90,2.56,3.54
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,16.62,0.00
