source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.2395,1.0,1.0,0.0,0.3353,2.90,6.75,20.14
transfered,2,0.0000,0.0,1.0,0.0,0.5044,1.90,6.65,13.19
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,9.34,6.25
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,9.83,0.00
origin,1,0.2296,1.0,1.0,0.0,0.3214,2.90,6.47,20.14
origin,2,0.0000,0.0,1.0,0.0,0.5938,1.90,7.83,13.19
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,7.25,6.25
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,7.57,0.00
