source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.6726,1.0,1.0,0.0,0.9416,2.90,45.38,48.20
transfered,2,0.7143,1.0,1.0,0.0,1.0000,1.90,40.94,31.11
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,43.37,14.73
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,41.45,0.00
origin,1,0.0000,0.0,1.0,0.0,0.5642,2.90,27.19,48.20
origin,2,0.5248,1.0,1.0,0.0,0.7347,1.90,22.85,31.11
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,23.76,14.73
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,23.94,0.00
