source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,1.0,0.0,1.0,1.0000,2.90,0.93,0.36
transfered,2,0.0000,0.0,0.0,0.0,1.0000,1.90,3.90,0.00
transfered,3,0.0000,0.0,0.0,0.0,1.0000,0.90,4.19,0.00
transfered,4,0.0000,0.0,0.0,0.0,1.0000,0.00,4.98,0.00
origin,1,0.0000,0.0,0.0,0.0,1.0000,2.90,1.79,0.36
origin,2,0.0000,0.0,0.0,1.0,1.0000,1.90,1.98,0.00
origin,3,0.0000,0.0,0.0,1.0,1.0000,0.90,1.95,0.00
origin,4,0.0000,0.0,0.0,0.0,1.0000,0.00,2.05,0.00
