source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,1.0,0.0,0.2878,2.90,3.24,11.25
transfered,2,0.0000,0.0,1.0,1.0,0.5710,1.90,4.26,7.47
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,4.47,3.68
transfered,4,1.0000,1.0,1.0,1.0,1.0000,0.00,4.03,0.00
origin,1,0.0000,0.0,1.0,1.0,0.8343,2.90,9.39,11.25
origin,2,0.0000,0.0,1.0,0.0,1.0000,1.90,10.84,7.47
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,10.39,3.68
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,11.52,0.00
