source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.5265,1.0,1.0,0.0,0.7371,2.90,18.10,24.55
transfered,2,0.4999,1.0,1.0,0.0,0.6999,1.90,11.08,15.83
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,10.68,7.50
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,12.67,0.00
origin,1,0.5610,1.0,1.0,0.0,0.7853,2.90,19.28,24.55
origin,2,0.7143,1.0,1.0,0.0,1.0000,1.90,19.30,15.83
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,12.79,7.50
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,18.81,0.00
