source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,1.0,0.0,0.9445,2.90,44.87,47.51
transfered,2,0.7143,1.0,1.0,0.0,1.0000,1.90,43.72,30.63
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,44.13,14.51
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,45.21,0.00
origin,1,0.0000,0.0,1.0,0.0,0.4349,2.90,20.66,47.51
origin,2,0.5135,1.0,1.0,0.0,0.7189,1.90,22.02,30.63
origin,3,0.6108,1.0,1.0,0.0,0.8551,0.90,12.41,14.51
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,23.02,0.00
