source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90,0.83,0.39
transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90,0.98,0.00
transfered,3,1.0000,1.0,1.0,1.0,1.0000,0.90,1.35,0.00
transfered,4,1.0000,1.0,1.0,1.0,1.0000,0.00,1.39,0.00
origin,1,1.0000,1.0,1.0,1.0,1.0000,2.90,1.30,0.39
origin,2,1.0000,1.0,1.0,1.0,1.0000,1.90,1.66,0.00
origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90,0.84,0.00
origin,4,1.0000,1.0,1.0,1.0,1.0000,0.00,1.29,0.00
