source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,0.0,1.0,1.0000,2.90,28.38,26.82
transfered,2,0.0000,0.0,1.0,0.0,1.0000,1.90,27.87,17.10
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,25.87,7.81
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,24.70,0.00
origin,1,0.0000,0.0,0.0,0.0,0.5589,2.90,14.99,26.82
origin,2,0.0000,0.0,1.0,0.0,0.7083,1.90,12.11,17.10
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,11.14,7.81
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,11.22,0.00
