source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,1.0,0.0,0.0,0.2171,2.90,4.79,22.05
transfered,2,0.7143,1.0,1.0,0.0,1.0000,1.90,23.77,14.25
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,22.29,6.75
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,20.83,0.00
origin,1,0.2036,1.0,1.0,0.0,0.2851,2.90,6.29,22.05
origin,2,0.6848,1.0,1.0,0.0,0.9587,1.90,13.66,14.25
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,13.79,6.75
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,12.96,0.00
