source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,0.0,0.0,1.0000,2.90,22.66,10.30
transfered,2,0.0000,0.0,0.0,0.0,1.0000,1.90,1.99,1.07
transfered,3,0.0000,0.0,0.0,0.0,1.0000,0.90,5.83,0.00
transfered,4,0.0000,0.0,0.0,0.0,1.0000,0.00,6.25,0.00
origin,1,0.0000,0.0,0.0,0.0,1.0000,2.90,13.08,10.30
origin,2,0.0000,0.0,0.0,1.0,1.0000,1.90,1.93,1.07
origin,3,0.0000,0.0,0.0,1.0,1.0000,0.90,0.76,0.00
origin,4,0.0000,0.0,0.0,1.0,1.0000,0.00,1.22,0.00
