source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.5680,1.0,1.0,0.0,0.7953,2.90,14.45,18.17
transfered,2,0.5863,1.0,1.0,0.0,0.8209,1.90,9.53,11.61
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,9.80,5.50
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,18.38,0.00
origin,1,0.5514,1.0,1.0,0.0,0.7720,2.90,14.03,18.17
origin,2,0.6145,1.0,1.0,0.0,0.8602,1.90,9.99,11.61
origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90,18.60,5.50
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,9.84,0.00
