source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,0.0,0.0,1.0000,2.90,15.58,8.96
transfered,2,0.0000,0.0,0.0,0.0,1.0000,1.90,2.25,0.72
transfered,3,0.0000,0.0,0.0,0.0,1.0000,0.90,6.50,0.00
transfered,4,0.0000,0.0,0.0,0.0,1.0000,0.00,5.85,0.00
origin,1,0.0000,0.0,0.0,0.0,1.0000,2.90,11.44,8.96
origin,2,0.0000,0.0,0.0,1.0,1.0000,1.90,2.14,0.72
origin,3,0.0000,0.0,0.0,1.0,1.0000,0.90,2.25,0.00
origin,4,0.0000,0.0,0.0,0.0,1.0000,0.00,2.43,0.00
