source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,1.0000,1.0,1.0,1.0,1.0000,2.90,0.64,0.01
transfered,2,1.0000,1.0,1.0,1.0,1.0000,1.90,0.90,0.00
transfered,3,0.0000,1.0,0.0,0.0,1.0000,0.90,2.73,0.00
transfered,4,0.0000,0.0,0.0,1.0,1.0000,0.00,3.05,0.00
origin,1,0.0000,0.0,0.0,0.0,1.0000,2.90,1.16,0.01
origin,2,1.0000,1.0,1.0,1.0,1.0000,1.90,1.30,0.00
origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90,0.49,0.00
origin,4,0.0000,0.0,0.0,0.0,1.0000,0.00,3.01,0.00
