source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.2331,1.0,1.0,0.0,0.3264,2.90,6.05,18.53
transfered,2,0.3619,1.0,1.0,0.0,0.5067,1.90,6.15,12.14
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,5.95,5.75
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,5.97,0.00
origin,1,0.2325,1.0,1.0,0.0,0.3256,2.90,6.03,18.53
origin,2,0.3731,1.0,1.0,0.0,0.5224,1.90,6.34,12.14
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,6.50,5.75
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,6.46,0.00
