source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,0.0,0.0,0.3454,2.90,4.73,13.69
transfered,2,0.0000,0.0,1.0,1.0,0.5065,1.90,4.54,8.97
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,4.74,4.25
transfered,4,1.0000,1.0,1.0,1.0,1.0000,0.00,5.57,0.00
origin,1,0.0000,0.0,0.0,0.0,0.4233,2.90,5.80,13.69
origin,2,0.0000,0.0,1.0,1.0,0.7203,1.90,6.46,8.97
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,6.83,4.25
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,10.44,0.00
