source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,0.0,0.0,0.3613,2.90,7.95,21.99
transfered,2,0.0000,0.0,1.0,0.0,0.5951,1.90,8.46,14.21
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,8.52,6.44
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,7.04,0.00
origin,1,0.0000,0.0,0.0,0.0,0.3980,2.90,8.75,21.99
origin,2,0.0000,0.0,1.0,0.0,0.9963,1.90,14.16,14.21
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,13.57,6.44
origin,4,1.0000,1.0,1.0,1.0,1.0000,0.00,14.39,0.00
