source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.7433,1.0,1.0,1.0,0.6407,2.90,11.35,17.72
transfered,2,0.7143,1.0,1.0,0.0,1.0000,1.90,21.53,11.61
transfered,3,1.0000,1.0,1.0,1.0,1.0000,0.90,29.80,5.50
transfered,4,1.0000,1.0,1.0,1.0,1.0000,0.00,22.26,0.00
origin,1,1.0000,1.0,1.0,1.0,1.0000,2.90,23.31,17.72
origin,2,0.7143,1.0,1.0,0.0,1.0000,1.90,22.34,11.61
origin,3,0.7143,1.0,1.0,0.0,1.0000,0.90,21.54,5.50
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,18.60,0.00
