source,frame_sec,total,no_collision,ttc,comfort,progress,gt_coverage_s,pred_len_m,gt_len_m
transfered,1,0.0000,0.0,0.0,0.0,0.2924,2.90,3.29,11.25
transfered,2,0.3236,1.0,1.0,0.0,0.4531,1.90,3.38,7.47
transfered,3,0.7143,1.0,1.0,0.0,1.0000,0.90,3.80,3.68
transfered,4,0.7143,1.0,1.0,0.0,1.0000,0.00,4.05,0.00
origin,1,0.0000,0.0,0.0,0.0,0.3678,2.90,4.14,11.25
origin,2,0.0000,0.0,1.0,0.0,0.4019,1.90,3.00,7.47
origin,3,1.0000,1.0,1.0,1.0,1.0000,0.90,11.77,3.68
origin,4,0.7143,1.0,1.0,0.0,1.0000,0.00,11.78,0.00
